id,species,observed_on,place,user
276728475,Seaside Sparrow,12/31/2024,"Pinelands Reserve Trail, Nokomis, FL, US",kairsterk
276726883,Seaside Sparrow,6/28/2024,"Vauban Esquermes, Lille, France",gcovain
276726640,Seaside Sparrow,11/25/2024,"Fort Lauderdale, FL, US",kairsterk
276724897,Seaside Sparrow,6/17/2024,"RT-35, Danvers, MA, US",smalleyc
276724624,Seaside Sparrow,7/10/2024,"Concord, MA, US",smalleyc
276724103,Seaside Sparrow,4/20/2024,"Missouri, US",hsimmonszoo
276724031,Seaside Sparrow,4/20/2024,"Missouri, US",hsimmonszoo
276724008,Seaside Sparrow,8/17/2024,"Ottawa, ON K2M 0L8, Canada",mandiezitanaturelife
276723998,Seaside Sparrow,4/17/2024,"Missouri, US",hsimmonszoo
276723991,Seaside Sparrow,4/17/2024,"Missouri, US",hsimmonszoo
276723593,Seaside Sparrow,11/19/2024,"Apopka, FL, US",kairsterk
276723436,Seaside Sparrow,7/21/2024,"Idaho County, US-ID, US",coleofthetonk
276723350,Seaside Sparrow,7/14/2024,United States,ebirding
276723311,Seaside Sparrow,10/31/2022,"Lac Nahuel Huapi, Argentine",albane0910
276723188,Seaside Sparrow,6/30/2021,"Ottawa, ON K2M 0L8, Canada",mandiezitanaturelife
276722736,Seaside Sparrow,2/2/2022,"Division No. 10, CA-AB, CA",moreana
276722608,Seaside Sparrow,5/9/2024,"Yazoo City, MS, US",andrewholzinger
276722267,Seaside Sparrow,6/20/2024,"Rescue, CA 95672, USA",lizessig
276721990,Seaside Sparrow,11/4/2024,"Robert L. B. Tobin Land Bridge, 13131 Blanco Rd, San Antonio, TX 78216, USA",phpconservancy
276721988,Seaside Sparrow,10/24/2024,"Robert L. B. Tobin Land Bridge, 13131 Blanco Rd, San Antonio, TX 78216, USA",phpconservancy
276721983,Seaside Sparrow,9/9/2024,"Robert L. B. Tobin Land Bridge, 13131 Blanco Rd, San Antonio, TX 78216, USA",phpconservancy
276721976,Seaside Sparrow,9/9/2024,"Robert L. B. Tobin Land Bridge, 13131 Blanco Rd, San Antonio, TX 78216, USA",phpconservancy
276721975,Seaside Sparrow,8/9/2024,"Robert L. B. Tobin Land Bridge, 13131 Blanco Rd, San Antonio, TX 78216, USA",phpconservancy
276721967,Seaside Sparrow,8/9/2024,"Robert L. B. Tobin Land Bridge, 13131 Blanco Rd, San Antonio, TX 78216, USA",phpconservancy
276721962,Seaside Sparrow,8/9/2024,"Robert L. B. Tobin Land Bridge, 13131 Blanco Rd, San Antonio, TX 78216, USA",phpconservancy
276721960,Seaside Sparrow,8/2/2024,"Robert L. B. Tobin Land Bridge, 13131 Blanco Rd, San Antonio, TX 78216, USA",phpconservancy
276721895,Seaside Sparrow,7/14/2024,United States,ebirding
276721782,Seaside Sparrow,7/14/2024,United States,ebirding
276721499,Seaside Sparrow,3/24/2023,"Woolfolk Rd, Yazoo City, MS, US",andrewholzinger
276721436,Seaside Sparrow,7/15/2024,United States,ebirding
276721257,Seaside Sparrow,8/2/2023,"Two Rivers Dr, Mukwonago, WI, US",maggiekaye
276721251,Seaside Sparrow,7/15/2024,United States,ebirding
276720389,Seaside Sparrow,3/31/2024,"Division No. 10, CA-AB, CA",moreana
276719715,Seaside Sparrow,7/24/2024,"The Esplanade, Toronto, ON, CA",moreana
276719235,Seaside Sparrow,5/27/2024,"Concord Rd, Sudbury, MA, US",smalleyc
276718720,Seaside Sparrow,5/1/2023,"Pascagoula, MS",bluedragonslug
276718718,Seaside Sparrow,5/1/2023,"Pascagoula, MS",bluedragonslug
276718659,Seaside Sparrow,6/18/2022,"Lydd, UK",roxplants
276718510,Seaside Sparrow,6/13/2021,"Old Richmond / Ad. 5092, Ottawa, ON K2R 1G8, Canada",mandiezitanaturelife
276717493,Seaside Sparrow,7/23/2024,"Ravalli County, US-MT, US",coleofthetonk
276717375,Seaside Sparrow,12/8/2022,"São Paulo, BR",polones
276716530,Seaside Sparrow,7/20/2022,"Capital Regional District, BC, Canada",rwhitelaw
276715562,Seaside Sparrow,5/31/2023,"Acadia University, Wolfville, NS, CA",tessaserry
276715509,Seaside Sparrow,4/11/2023,"Hattiesburg, MS, US",andrewholzinger
276715200,Seaside Sparrow,12/1/2022,"São Paulo, BR",polones
276715141,Seaside Sparrow,4/29/2023,"Woolfolk Rd, Yazoo City, MS, US",andrewholzinger
276714912,Seaside Sparrow,5/14/2023,"Christmas Place Rd, Lexington, MS, US",andrewholzinger
276714658,Seaside Sparrow,6/29/2023,"Acadia University, Wolfville, NS, CA",tessaserry
276714460,Seaside Sparrow,6/3/2024,"Camptonville, CA 95922, USA",lizessig
276714436,Seaside Sparrow,1/2/2022,"Palace Dr, Stafford, TX, US",happykatygirl
276714431,Seaside Sparrow,6/10/2024,"North Stamford, Stamford, CT, USA",ingrid_kaatz
276714355,Seaside Sparrow,11/24/2022,"São Paulo, BR",polones
276714217,Seaside Sparrow,6/4/2023,"Christmas Place Rd, Lexington, MS, US",andrewholzinger
276714102,Seaside Sparrow,11/19/2022,"Jb Marks, North West, ZA",swanepoel
276714081,Seaside Sparrow,7/13/2021,"W Holland St, Carthage, TX, US",happykatygirl
276713974,Seaside Sparrow,8/23/2021,"Curtiss Rd, Bossier City, LA, US",happykatygirl
276713795,Seaside Sparrow,6/28/2024,"Vauban Esquermes, Lille, France",gcovain
276713498,Seaside Sparrow,9/29/2024,"Steen Rd, Bridgeville, PA, US",lilly175
276713301,Seaside Sparrow,7/11/2024,United States,maesmatcha
276712967,Seaside Sparrow,6/6/2023,"W Levee Rd, Yazoo City, MS, US",andrewholzinger
276712721,Seaside Sparrow,7/11/2024,"Mammoth, WY 82190, USA",maesmatcha
276712224,Seaside Sparrow,7/2/2023,"Trunk 1, Wolfville, NS, CA",tessaserry
276711943,Seaside Sparrow,7/13/2023,"Acadia University, Wolfville, NS, CA",tessaserry
276711726,Seaside Sparrow,6/13/2023,"Louise, MS, US",andrewholzinger
276711025,Seaside Sparrow,7/14/2023,"Yazoo City, MS, US",andrewholzinger
276710879,Seaside Sparrow,8/15/2023,"Yazoo City, MS, US",andrewholzinger
276710657,Seaside Sparrow,11/25/2024,"Pichincha, EC",attila21
276710528,Seaside Sparrow,10/15/2020,"Girona, España",jesusaparicio69
276710234,Seaside Sparrow,11/5/2023,"29120 Plomeur, France",samuel-iglesias
276709951,Seaside Sparrow,11/25/2024,"Beaufort, NC, USA",jackkalil
276709370,Seaside Sparrow,9/14/2024,"Дзержинский р-н, Ярославль, Ярославская обл., Россия",aleksey23
276707144,Seaside Sparrow,10/13/2022,"Královské botanické zahrady, Richmond, Velká Británie",sona73853
276706345,Seaside Sparrow,3/23/2024,"Bioparque Estrella, Rayon Km. 9, 64700 Montemorelos, N.L., México",gabrieltejeda
276706338,Seaside Sparrow,7/9/2024,"C.U., Ciudad de México, CDMX, México",gabrieltejeda
276706195,Seaside Sparrow,10/13/2022,"Královské botanické zahrady, Richmond, Velká Británie",sona73853
276704891,Seaside Sparrow,7/20/2024,"Division No. 15, CA-AB, CA",aidanharrington1111
276704625,Seaside Sparrow,4/7/2024,"Woodbridge, VA 22191, USA",maesmatcha
276703852,Seaside Sparrow,9/22/2020,"Girona, España",jesusaparicio69
276703756,Seaside Sparrow,9/8/2023,"County Road 3000, Independence, KS, US",m_nicole2706
276701092,Seaside Sparrow,4/28/2024,"Sebedín, 974 01 Sebedín - Bečov, Slovensko",stefan_j
276701017,Seaside Sparrow,4/8/2022,"Zentralmakedonien, Griechenland",aditt
276700816,Seaside Sparrow,10/3/2024,"Jackson Township, OH, USA",jeston1
276700588,Seaside Sparrow,6/27/2024,"38080 L'Isle-d'Abeau, France",theo_bras
276700391,Seaside Sparrow,7/18/2024,"North Carolina, US",theodorigor
276699934,Seaside Sparrow,8/15/2024,BS,muchhutch
276699444,Seaside Sparrow,5/11/2024,"53721 Siegburg, Deutschland",helje
276699194,Seaside Sparrow,5/17/2022,"Yazoo City, MS, US",andrewholzinger
276699115,Seaside Sparrow,5/17/2022,"W Levee Rd, Yazoo City, MS, US",andrewholzinger
276698933,Seaside Sparrow,5/19/2022,"Yazoo City, MS, US",andrewholzinger
276698642,Seaside Sparrow,5/21/2022,"Yazoo City, MS, US",andrewholzinger
276698456,Seaside Sparrow,5/29/2022,"W Levee Rd, Yazoo City, MS, US",andrewholzinger
276698426,Seaside Sparrow,2/13/2021,"Woodbridge, VA 22191, USA",maesmatcha
276698212,Seaside Sparrow,4/3/2023,"Johns Island, Johns Island, SC, US",ston
276698021,Seaside Sparrow,5/31/2022,"Mississippi, US",andrewholzinger
276697156,Seaside Sparrow,6/11/2022,"Yazoo City, MS, US",andrewholzinger
276695928,Seaside Sparrow,8/12/2022,"Yazoo City, MS, US",andrewholzinger
276695875,Seaside Sparrow,11/6/2024,"35770 Vern-sur-Seiche, France",lil_ian
276695496,Seaside Sparrow,3/2/2023,"São Paulo, BR",polones
276695332,Seaside Sparrow,9/23/2024,Mangaluru,e_man69
276695320,Seaside Sparrow,6/19/2022,"Passa Tempo - MG, 35537-000, Brasil",sirleiriosrocha
276695051,Seaside Sparrow,9/18/2020,"Girona, España",jesusaparicio69
276695038,Seaside Sparrow,4/19/2024,"Sebedín, 974 01 Sebedín - Bečov, Slovensko",stefan_j
276694888,Seaside Sparrow,3/1/2023,"São Paulo, BR",polones
276694859,Seaside Sparrow,9/12/2023,"Jacareí, SP, Brasil",gabriel32996
276694461,Seaside Sparrow,7/17/2022,"Mississippi, US",andrewholzinger
276693882,Seaside Sparrow,2/27/2023,"São Paulo, BR",polones
276693639,Seaside Sparrow,10/7/2021,"Delemar Hwy, Summerville, SC, US",ston
276693540,Seaside Sparrow,11/21/2022,"Jb Marks, North West, ZA",swanepoel
276693504,Seaside Sparrow,9/5/2022,"W Levee Rd, Yazoo City, MS, US",andrewholzinger
276693325,Seaside Sparrow,10/2/2022,"Yazoo City, MS, US",andrewholzinger
276693255,Seaside Sparrow,10/6/2022,"Petal, MS, US",andrewholzinger
276692860,Seaside Sparrow,5/15/2020,"River Walk, San Antonio, TX, US",coyotelosoya
276692753,Seaside Sparrow,6/6/2021,"Greenford, England, GB",stevenjwest
276692623,Seaside Sparrow,2/26/2023,"São Paulo, BR",polones
276692400,Seaside Sparrow,11/15/2024,"Panamá, PA",rbroeren
276692073,Seaside Sparrow,5/13/2021,"Augusta County, VA, USA",aeberardi
276691507,Seaside Sparrow,10/29/2022,"Yazoo City, MS, US",andrewholzinger
276691188,Seaside Sparrow,10/29/2022,"Yazoo City, MS, US",andrewholzinger
276690333,Seaside Sparrow,2/25/2023,"São Paulo, BR",polones
276689944,Seaside Sparrow,2/25/2023,"São Paulo, BR",polones
276689932,Seaside Sparrow,11/9/2024,"7430 Crato, Portugal",ritarm
276689586,Seaside Sparrow,11/12/2022,"Yazoo City, MS, US",andrewholzinger
276689074,Seaside Sparrow,5/9/2024,"53721 Siegburg, Deutschland",helje
276689044,Seaside Sparrow,10/3/2024,"Ogden, UT, USA",little_lettie
276689042,Seaside Sparrow,10/3/2024,"Ogden, UT, USA",little_lettie
276689036,Seaside Sparrow,10/3/2024,"Ogden, UT, USA",little_lettie
276689033,Seaside Sparrow,10/3/2024,"Ogden, UT, USA",little_lettie
276689029,Seaside Sparrow,10/3/2024,"Ogden, UT, USA",little_lettie
276689024,Seaside Sparrow,10/3/2024,"Ogden, UT, USA",little_lettie
276689022,Seaside Sparrow,10/3/2024,"Ogden, UT, USA",little_lettie
276689016,Seaside Sparrow,10/3/2024,"Ogden, UT, USA",little_lettie
276689011,Seaside Sparrow,10/3/2024,"Ogden, UT, USA",little_lettie
276689007,Seaside Sparrow,10/3/2024,"Ogden, UT, USA",little_lettie
276688999,Seaside Sparrow,10/3/2024,"Ogden, UT, USA",little_lettie
276688998,Seaside Sparrow,10/3/2024,"Ogden, UT, USA",little_lettie
276688997,Seaside Sparrow,10/3/2024,"Ogden, UT, USA",little_lettie
276688986,Seaside Sparrow,10/3/2024,"Ogden, UT, USA",little_lettie
276688985,Seaside Sparrow,10/3/2024,"Ogden, UT, USA",little_lettie
276688984,Seaside Sparrow,10/3/2024,"Ogden, UT, USA",little_lettie
276688975,Seaside Sparrow,10/3/2024,"Ogden, UT, USA",little_lettie
276688972,Seaside Sparrow,10/3/2024,"Ogden, UT, USA",little_lettie
276688963,Seaside Sparrow,10/3/2024,"Ogden, UT, USA",little_lettie
276688962,Seaside Sparrow,10/3/2024,"Ogden, UT, USA",little_lettie
276688918,Seaside Sparrow,10/3/2024,"Ogden, UT, USA",little_lettie
276688915,Seaside Sparrow,10/3/2024,"Ogden, UT, USA",little_lettie
276688280,Seaside Sparrow,6/28/2024,"Elysian Fields Ave, New Orleans, LA, US",silverfritillary
276688277,Seaside Sparrow,10/30/2022,"Mississippi, US",andrewholzinger
276688007,Seaside Sparrow,11/6/2022,"Passa Tempo - MG, 35537-000, Brasil",sirleiriosrocha
276687808,Seaside Sparrow,3/23/2023,"Rural West Ashley, Ravenel, SC, US",ston
276686807,Seaside Sparrow,2/14/2024,"Greenford, England, GB",stevenjwest
276686607,Seaside Sparrow,3/5/2024,"Greenford, England, GB",stevenjwest
276686442,Seaside Sparrow,7/16/2024,"Greenford, England, GB",stevenjwest
276685389,Seaside Sparrow,3/20/2024,"Colina, Región Metropolitana, Chile",yasss_
276685332,Seaside Sparrow,7/19/2023,"Rural West Ashley, Ravenel, SC, US",ston
276684677,Seaside Sparrow,4/28/2024,"Coos Bay, OR 97420, USA",humbl3
276684205,Seaside Sparrow,7/9/2023,"980 03 Drňa, Slovensko",forgipalo
276684094,Seaside Sparrow,6/22/2021,"Rural West Ashley, Hollywood, SC, US",ston
276683877,Seaside Sparrow,9/1/2024,"Clifton Highlands Golf Course, Prescott, WI, US",emmalaundrie
276683836,Seaside Sparrow,7/9/2023,"980 03 Drňa, Slovensko",forgipalo
276683266,Seaside Sparrow,7/9/2023,"980 03 Drňa, Slovensko",forgipalo
276682885,Seaside Sparrow,7/9/2023,"980 03 Drňa, Slovensko",forgipalo
276682691,Seaside Sparrow,6/2/2021,"Rural West Ashley, Hollywood, SC, US",ston
276682419,Seaside Sparrow,7/15/2020,"Girona, España",jesusaparicio69
276682250,Seaside Sparrow,11/24/2023,"Calle Huachinango, Yelapa, Jal., MX",valeria_johaly
276682247,Seaside Sparrow,7/9/2023,"980 03 Drňa, Slovensko",forgipalo
276682229,Seaside Sparrow,4/23/2024,"Villarrica, Araucanía, Chile",yasss_
276681574,Seaside Sparrow,7/9/2023,"980 03 Drňa, Slovensko",forgipalo
276681134,Seaside Sparrow,7/24/2024,"Lemhi County, US-ID, US",coleofthetonk
276680966,Seaside Sparrow,7/22/2023,"Belper DE56, UK",ardnieu
276680661,Seaside Sparrow,7/7/2023,"977 01 Jarabá, Slovensko",forgipalo
276679854,Seaside Sparrow,5/23/2024,"Ávila, Spanje",josephinebeijer
276679241,Seaside Sparrow,11/20/2021,"Pilanesberg National Park, South Africa",philipcarstens
276678999,Seaside Sparrow,9/24/2021,"Jb Marks, North West, ZA",swanepoel
276678868,Seaside Sparrow,8/29/2022,"Parco Regionale dei Colli Euganei, Galzignano Terme, Veneto, IT",domenico_fischetti
276678372,Seaside Sparrow,7/7/2023,"977 01 Jarabá, Slovensko",forgipalo
276678323,Seaside Sparrow,5/27/2023,"Cortez, CO 81321, USA",erikh755
276677935,Seaside Sparrow,4/29/2020,"43400 Le Chambon-sur-Lignon, France",bernadettecassel
276677748,Seaside Sparrow,2/28/2023,"Parco Regionale dei Colli Euganei, Galzignano Terme, Veneto, IT",domenico_fischetti
276677425,Seaside Sparrow,7/7/2023,"977 01 Jarabá, Slovensko",forgipalo
276677368,Seaside Sparrow,10/19/2024,"Cameron County, TX, USA",yourfavegngr
276677018,Seaside Sparrow,5/9/2024,"53721 Siegburg, Deutschland",helje
276676994,Seaside Sparrow,7/7/2023,"977 01 Jarabá, Slovensko",forgipalo
276676838,Seaside Sparrow,8/12/2023,"Getty Center, Los Angeles, CA, US",tylerw97
276676608,Seaside Sparrow,7/7/2023,"977 01 Jarabá, Slovensko",forgipalo
276675911,Seaside Sparrow,4/29/2020,"43400 Le Chambon-sur-Lignon, France",bernadettecassel
276675685,Seaside Sparrow,6/29/2024,"Allegan County, MI, USA",aidanharrington1111
276675683,Seaside Sparrow,7/29/2023,"Allegan County, MI, USA",aidanharrington1111
276675672,Seaside Sparrow,6/29/2024,"Van Buren County, MI, USA",aidanharrington1111
276675662,Seaside Sparrow,5/15/2024,"77734 Grand Palladium, Q.R., Mexico",aidanharrington1111
276675655,Seaside Sparrow,5/16/2024,"77734 Grand Palladium, Q.R., Mexico",aidanharrington1111
276675385,Seaside Sparrow,4/26/2024,"Dămăroaia, Bucharest, Romania",danamihaimileazachi
276675173,Seaside Sparrow,3/24/2022,,houman_doroudi
276675162,Seaside Sparrow,3/18/2022,,houman_doroudi
276675159,Seaside Sparrow,7/7/2023,"977 01 Jarabá, Slovensko",forgipalo
276674929,Seaside Sparrow,5/9/2024,"53721 Siegburg, Deutschland",helje
276674832,Seaside Sparrow,5/8/2023,"Parco Regionale dei Colli Euganei, Galzignano Terme, Veneto, IT",domenico_fischetti
276674399,Seaside Sparrow,9/25/2024,"Davis County, UT, USA",little_lettie
276674396,Seaside Sparrow,9/25/2024,"Davis County, UT, USA",little_lettie
276674361,Seaside Sparrow,9/25/2024,"Davis County, UT, USA",little_lettie
276674344,Seaside Sparrow,9/25/2024,"Davis County, UT, USA",little_lettie
